"TIME","GEO","CROP_PRO","STRUCPRO","Value","Flag and Footnotes"
"2005","Helsinki-Uusimaa","ha: Utilised agricultural area","Total",":",""
"2005","Helsinki-Uusimaa","ha: Arable land","Total",":",""
"2005","Helsinki-Uusimaa","ha: Common wheat and spelt","Total",":",""
"2005","Helsinki-Uusimaa","ha: Durum wheat","Total",":",""
"2005","Helsinki-Uusimaa","ha: Rye","Total",":",""
"2005","Helsinki-Uusimaa","ha: Barley","Total",":",""
"2005","Helsinki-Uusimaa","ha: Oats","Total",":",""
"2005","Helsinki-Uusimaa","ha: Grain maize","Total",":",""
"2005","Helsinki-Uusimaa","ha: Rice","Total",":",""
"2005","Helsinki-Uusimaa","ha: Other cereals","Total",":",""
"2005","Helsinki-Uusimaa","ha: Pulses - total","Total",":",""
"2005","Helsinki-Uusimaa","ha: Potatoes","Total",":",""
"2005","Helsinki-Uusimaa","ha: Sugar beet","Total",":",""
"2005","Helsinki-Uusimaa","ha: Fodder roots and brassicas","Total",":",""
"2005","Helsinki-Uusimaa","ha: Industrial crops - total","Total",":",""
"2005","Helsinki-Uusimaa","ha: Tobacco","Total",":",""
"2005","Helsinki-Uusimaa","ha: Hops","Total",":",""
"2005","Helsinki-Uusimaa","ha: Cotton","Total",":",""
"2005","Helsinki-Uusimaa","ha: Rape and turnip","Total",":",""
"2005","Helsinki-Uusimaa","ha: Sunflower","Total",":",""
"2005","Helsinki-Uusimaa","ha: Soya","Total",":",""
"2005","Helsinki-Uusimaa","ha:  Other oil-seed or fibre crops","Total",":",""
"2005","Helsinki-Uusimaa","ha: Outdoor: Flowers and ornemental plants","Total",":",""
"2005","Helsinki-Uusimaa","ha: Under glass: Flowers and ornemental plants","Total",":",""
"2005","Helsinki-Uusimaa","ha: Fodder crops - total","Total",":",""
"2005","Helsinki-Uusimaa","ha: Fodder crops - temporary grass","Total",":",""
"2005","Helsinki-Uusimaa","ha: Total: Other green fodder: Fodder crops","Total",":",""
"2005","Helsinki-Uusimaa","ha: Green maize: Other green fodder: Fodder crops","Total",":",""
"2005","Helsinki-Uusimaa","ha: Other fodder crops: leguminous plants: Fodder crops","Total",":",""
"2005","Etelä-Suomi","ha: Utilised agricultural area","Total",":",""
"2005","Etelä-Suomi","ha: Arable land","Total",":",""
"2005","Etelä-Suomi","ha: Common wheat and spelt","Total",":",""
"2005","Etelä-Suomi","ha: Durum wheat","Total",":",""
"2005","Etelä-Suomi","ha: Rye","Total",":",""
"2005","Etelä-Suomi","ha: Barley","Total",":",""
"2005","Etelä-Suomi","ha: Oats","Total",":",""
"2005","Etelä-Suomi","ha: Grain maize","Total",":",""
"2005","Etelä-Suomi","ha: Rice","Total",":",""
"2005","Etelä-Suomi","ha: Other cereals","Total",":",""
"2005","Etelä-Suomi","ha: Pulses - total","Total",":",""
"2005","Etelä-Suomi","ha: Potatoes","Total",":",""
"2005","Etelä-Suomi","ha: Sugar beet","Total",":",""
"2005","Etelä-Suomi","ha: Fodder roots and brassicas","Total",":",""
"2005","Etelä-Suomi","ha: Industrial crops - total","Total",":",""
"2005","Etelä-Suomi","ha: Tobacco","Total",":",""
"2005","Etelä-Suomi","ha: Hops","Total",":",""
"2005","Etelä-Suomi","ha: Cotton","Total",":",""
"2005","Etelä-Suomi","ha: Rape and turnip","Total",":",""
"2005","Etelä-Suomi","ha: Sunflower","Total",":",""
"2005","Etelä-Suomi","ha: Soya","Total",":",""
"2005","Etelä-Suomi","ha:  Other oil-seed or fibre crops","Total",":",""
"2005","Etelä-Suomi","ha: Outdoor: Flowers and ornemental plants","Total",":",""
"2005","Etelä-Suomi","ha: Under glass: Flowers and ornemental plants","Total",":",""
"2005","Etelä-Suomi","ha: Fodder crops - total","Total",":",""
"2005","Etelä-Suomi","ha: Fodder crops - temporary grass","Total",":",""
"2005","Etelä-Suomi","ha: Total: Other green fodder: Fodder crops","Total",":",""
"2005","Etelä-Suomi","ha: Green maize: Other green fodder: Fodder crops","Total",":",""
"2005","Etelä-Suomi","ha: Other fodder crops: leguminous plants: Fodder crops","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Utilised agricultural area","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Arable land","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Common wheat and spelt","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Durum wheat","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Rye","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Barley","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Oats","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Grain maize","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Rice","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Other cereals","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Pulses - total","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Potatoes","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Sugar beet","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Fodder roots and brassicas","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Industrial crops - total","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Tobacco","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Hops","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Cotton","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Rape and turnip","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Sunflower","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Soya","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha:  Other oil-seed or fibre crops","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Outdoor: Flowers and ornemental plants","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Under glass: Flowers and ornemental plants","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Fodder crops - total","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Fodder crops - temporary grass","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Total: Other green fodder: Fodder crops","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Green maize: Other green fodder: Fodder crops","Total",":",""
"2005","Pohjois- ja Itä-Suomi","ha: Other fodder crops: leguminous plants: Fodder crops","Total",":",""
"2005","Åland","ha: Utilised agricultural area","Total","14 640",""
"2005","Åland","ha: Arable land","Total","13 500",""
"2005","Åland","ha: Common wheat and spelt","Total","1 330",""
"2005","Åland","ha: Durum wheat","Total","0",""
"2005","Åland","ha: Rye","Total","220",""
"2005","Åland","ha: Barley","Total","1 040",""
"2005","Åland","ha: Oats","Total","1 880",""
"2005","Åland","ha: Grain maize","Total","0",""
"2005","Åland","ha: Rice","Total","0",""
"2005","Åland","ha: Other cereals","Total","10",""
"2005","Åland","ha: Pulses - total","Total","10",""
"2005","Åland","ha: Potatoes","Total","750",""
"2005","Åland","ha: Sugar beet","Total","1 170",""
"2005","Åland","ha: Fodder roots and brassicas","Total","0",""
"2005","Åland","ha: Industrial crops - total","Total","50",""
"2005","Åland","ha: Tobacco","Total","0",""
"2005","Åland","ha: Hops","Total","0",""
"2005","Åland","ha: Cotton","Total","0",""
"2005","Åland","ha: Rape and turnip","Total","40",""
"2005","Åland","ha: Sunflower","Total","0",""
"2005","Åland","ha: Soya","Total","0",""
"2005","Åland","ha:  Other oil-seed or fibre crops","Total","0",""
"2005","Åland","ha: Outdoor: Flowers and ornemental plants","Total","0",""
"2005","Åland","ha: Under glass: Flowers and ornemental plants","Total","0",""
"2005","Åland","ha: Fodder crops - total","Total","5 510",""
"2005","Åland","ha: Fodder crops - temporary grass","Total","5 470",""
"2005","Åland","ha: Total: Other green fodder: Fodder crops","Total","50",""
"2005","Åland","ha: Green maize: Other green fodder: Fodder crops","Total","0",""
"2005","Åland","ha: Other fodder crops: leguminous plants: Fodder crops","Total",":",""
"2005","Norway","ha: Utilised agricultural area","Total","1 035 400",""
"2005","Norway","ha: Arable land","Total","621 730",""
"2005","Norway","ha: Common wheat and spelt","Total","80 820",""
"2005","Norway","ha: Durum wheat","Total","0",""
"2005","Norway","ha: Rye","Total","6 910",""
"2005","Norway","ha: Barley","Total","163 300",""
"2005","Norway","ha: Oats","Total","74 160",""
"2005","Norway","ha: Grain maize","Total","0",""
"2005","Norway","ha: Rice","Total","0",""
"2005","Norway","ha: Other cereals","Total","1 040",""
"2005","Norway","ha: Pulses - total","Total","0",""
"2005","Norway","ha: Potatoes","Total","13 730",""
"2005","Norway","ha: Sugar beet","Total","0",""
"2005","Norway","ha: Fodder roots and brassicas","Total","0",""
"2005","Norway","ha: Industrial crops - total","Total","6 690",""
"2005","Norway","ha: Tobacco","Total","0",""
"2005","Norway","ha: Hops","Total","0",""
"2005","Norway","ha: Cotton","Total","0",""
